id,k,weight
ctrnact-12_34-4p_4s2_5c3_6f_6i5-4,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-5,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-6,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-7,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-8,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-9,12,22
ctrnact-12_34-4p_4s2_5c3_6i6-1,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-10,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-11,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-12,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-13,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-14,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-15,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-16,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-17,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-18,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-19,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-2,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-20,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-21,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-3,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-4,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-5,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-6,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-7,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-8,12,23
ctrnact-12_34-4p_4s2_5c3_6i6-9,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-1,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-10,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-11,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-12,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-13,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-14,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-15,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-16,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-17,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-18,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-19,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-2,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-20,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-21,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-22,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-23,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-24,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-25,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-26,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-27,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-28,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-29,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-3,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-30,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-31,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-32,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-33,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-34,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-35,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-36,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-4,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-5,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-6,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-7,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-8,12,23
ctrnact-12_34-4p_4s2_5c4_6i5-9,12,23
ctrnact-12_34-4p_4s2_5c5_6f_6i3-1,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-10,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-11,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-12,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-13,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-14,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-15,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-16,12,22
